match_id,phase,home,away,result,strat_1x0,strat_2x1,strat_draw/1x0,strat_elo bolão,strat_elo tiered,strat_best expected,strat_rating,strat_lean low,strat_draw hunter,strat_crowd consensus,strat_crowd contrarian,user_14,user_15,user_16,user_17,user_18,user_19,user_20,user_21,user_22,user_24,user_25,user_26,user_27,user_28,user_30,user_31,user_32,user_33,user_34,user_35,user_36,user_37,user_38,user_39,user_40,user_117,user_189,user_190,user_191,user_192,user_193,user_194,user_267,user_269,user_270,user_273,user_1598
1,16 Avos Final,South Africa,Canada,0x1,18,12,18,12,12,18,12,18,18,12,6,12,12,12,0,18,18,12,12,18,0,12,12,12,12,12,18,6,12,6,12,6,18,12,18,12,6,0,0,6,0,6,12,12,12,0,0,0
2,16 Avos Final,Brazil,Japan,2x1,12,18,12,12,12,12,12,12,0,18,0,18,6,18,18,18,18,18,6,6,0,18,6,6,6,6,6,6,18,6,6,0,12,18,18,18,18,18,6,6,18,18,6,6,6,6,6,6
3,16 Avos Final,Germany,Paraguay,1x1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16 Avos Final,Netherlands,Morocco,1x1,0,0,0,0,0,0,0,0,18,18,9,18,0,18,18,0,0,18,18,0,0,9,0,9,18,0,18,18,0,0,18,0,0,18,0,18,18,0,0,9,9,0,9,0,9,18,0,18
5,16 Avos Final,Ivory Coast,Norway,1x2,12,18,12,12,12,12,18,12,0,18,0,18,0,0,6,0,0,18,12,18,6,18,6,18,0,18,6,18,18,6,18,18,12,6,6,12,18,18,6,18,6,18,6,18,0,0,6,6
6,16 Avos Final,France,Sweden,3x0,6,6,6,6,6,6,6,6,6,6,6,12,18,12,18,6,6,6,18,6,6,6,12,6,18,6,6,18,6,6,6,12,6,6,18,6,6,18,6,6,6,6,18,6,6,6,6,6
7,16 Avos Final,Mexico,Ecuador,2x0,6,6,0,0,0,0,0,0,0,6,0,6,6,6,0,6,6,6,6,6,12,0,0,0,6,6,18,6,6,6,0,0,6,0,6,6,6,0,6,0,18,6,0,6,6,0,6,18
8,16 Avos Final,England,DR Congo,2x1,12,18,12,6,6,6,6,12,12,6,0,6,6,6,6,6,6,6,6,6,6,12,12,6,18,6,6,6,6,6,6,6,12,6,6,6,6,6,6,6,6,18,6,6,6,6,6,6
9,16 Avos Final,Belgium,Senegal,2x2,0,0,0,0,0,0,9,0,9,0,0,9,9,0,0,18,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,18,9,9,0,0,0,0,0,9
10,16 Avos Final,United States,Bosnia and Herzegovina,2x0,6,6,6,6,6,6,6,6,6,18,0,6,18,18,18,12,18,6,6,18,18,18,6,18,12,18,6,12,6,18,18,18,6,18,6,6,6,6,18,6,6,6,6,6,12,18,18,18
11,16 Avos Final,Spain,Austria,3x0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,6,6,6,6,6,6,6,18,6
12,16 Avos Final,Portugal,Croatia,2x1,12,18,12,12,12,12,12,12,0,18,0,18,0,0,6,0,0,6,6,18,18,18,18,18,0,18,0,0,18,0,18,0,12,18,0,0,0,0,18,18,0,18,12,0,0,12,18,0
13,16 Avos Final,Switzerland,Algeria,2x0,6,6,6,6,6,6,6,6,0,6,0,18,6,6,0,18,0,6,6,6,6,6,18,6,18,18,6,6,6,6,6,0,6,18,6,6,6,18,6,0,6,6,6,18,18,6,18,0
14,16 Avos Final,Australia,Egypt,1x1,0,0,0,0,0,0,0,0,18,18,0,9,18,0,0,0,18,18,0,0,9,18,18,0,18,0,18,0,0,0,18,0,18,0,18,18,18,0,0,0,9,0,0,18,0,0,0,0
15,16 Avos Final,Argentina,Cape Verde,1x1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16 Avos Final,Colombia,Ghana,1x0,18,12,18,6,6,6,6,18,18,12,6,12,18,0,0,12,12,12,0,18,12,12,6,12,18,6,12,6,12,6,6,6,18,12,18,12,12,6,12,18,0,12,0,6,12,6,12,12
537327,Grupo A,Mexico,South Africa,2x0,2,2,2,2,2,2,6,2,2,6,2,2,6,6,4,2,6,6,2,6,4,6,6,2,6,6,6,0,6,2,6,2,2,2,4,6,4,6,6,2,6,4,2,6,2,2,6,6
537328,Grupo A,South Korea,Czechia,2x1,4,6,4,4,4,4,4,4,0,0,2,6,0,0,0,6,0,6,0,0,0,0,0,0,0,6,4,4,0,4,0,0,0,4,0,6,6,0,0,0,0,0,6,0,0,0,0,0
537329,Grupo A,South Africa,Czechia,1x1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0
537330,Grupo A,Mexico,South Korea,1x0,6,4,0,0,0,6,6,0,0,4,0,4,4,2,2,6,4,4,0,6,0,4,4,0,4,0,2,2,4,4,4,4,6,0,4,0,4,4,4,2,0,4,0,0,4,6,6,0
537331,Grupo A,Mexico,Czechia,3x0,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,2,2,2,0,2,2,2,0,0,6,2,2,2,2,0,0,2,0,0,2,2,2,0,2,0,0,2,0,2,0,2,2,2
537332,Grupo A,South Africa,South Korea,1x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
537333,Grupo B,Canada,Bosnia and Herzegovina,1x1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,6,0,3,0,3,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,6,0,0
537334,Grupo B,Qatar,Switzerland,1x1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
537335,Grupo B,Bosnia and Herzegovina,Switzerland,1x4,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,4
537336,Grupo B,Canada,Qatar,6x0,2,2,2,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,0,2,2,2,0,0
537337,Grupo B,Canada,Switzerland,1x2,4,6,0,0,0,4,4,0,0,0,0,4,0,4,6,0,6,4,0,4,0,2,0,4,2,0,0,6,0,0,6,0,4,0,0,2,6,4,6,0,4,4,0,0,6,4,2,0
537338,Grupo B,Bosnia and Herzegovina,Qatar,3x1,0,0,0,0,0,2,0,0,0,4,0,2,2,2,0,2,4,4,0,2,6,4,2,2,0,4,2,2,2,0,4,6,2,2,4,4,2,6,0,4,4,2,2,2,2,2,4,4
537339,Grupo C,Brazil,Morocco,1x1,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0
537340,Grupo C,Haiti,Scotland,0x1,6,4,6,6,6,6,4,6,0,2,0,2,2,2,0,2,2,2,6,2,2,2,2,0,2,6,2,2,2,6,2,2,6,2,2,2,4,2,0,2,2,2,0,2,6,4,2,2
537341,Grupo C,Brazil,Haiti,3x0,2,2,2,2,2,2,6,2,2,6,2,2,2,2,2,2,2,2,6,6,4,2,2,6,2,6,2,2,2,6,2,2,6,2,6,2,6,6,6,2,2,2,6,6,6,6,2,2
537342,Grupo C,Morocco,Scotland,1x0,6,4,6,6,6,6,6,6,0,4,0,2,6,2,0,2,4,4,6,6,0,2,6,4,2,2,6,2,0,2,4,4,6,2,0,4,4,4,0,6,4,4,0,0,6,4,2,2
